Company;Headquarters;Region;Certifications;Description;Website URL;Category;Vetted
AiPrise;San Francisco, CA;Global;;Global Orchestration: A newer player (founded ~2022) that acts as a single API to 100+ local KYC providers.;https://www.aiprise.com;Specialized / Niche;
Alessa;Toronto, Canada;Global;;"Modular Compliance: Often cited in 2026 as the best ""all-rounder"" for mid-sized banks that need to stay within budget.";https://www.alessa.com;Specialized / Niche;
Alloy;New York, NY;"North America/EU; Global";;"Identity Decisioning Platform: An orchestration layer that connects 200+ data sources to automate onboarding and fraud checks.; Identity Decisioning: The industry's most popular ""orchestration"" layer connecting 200+ data sources. *Most popular US orchestration hub.*";https://www.alloy.com;RegTech / High-Growth;
Amani;Dubai, UAE;MENA;;"ID Verification: Specialized in AI-enhanced risk management tailored for the Middle East and African identity document types.; IDV & KYC: Specialized in Arabic document OCR and local government database integrations in the GCC.";https://amani.ai;Specialized / Niche;
AML Watcher;USA / Global;Global;ISO 27001, SOC 2 Type 2, GDPR;"Compliance AI Agent: A specialized AI tool that filters PEP and Adverse Media matches to provide ""explainable"" true positives, reducing manual review time.
Focuses on ""Network Risk,"" identifying if a ship is owned by a sanctioned entity or has historically loitered in high-risk territorial waters.";https://amlwatcher.com/;Specialized / Niche;
AMLYZE;Vilnius, Lithuania;EU;;"24/7 Monitoring: A modular AML/CFT suite specifically designed for FinTechs and ""Electronic Money Institutions"" (EMIs).; Fintech-First AML: Specifically built for Electronic Money Institutions (EMIs) to meet strict European central bank rules.";https://amlyze.com;Specialized / Niche;
Authologic;Warsaw, Poland;EU;ISO 27001, eIDAS;"e-ID Aggregator: A niche startup that aggregates ""digital IDs"" (like BankID or Government e-IDs) into one API, bypassing physical document scans.; e-ID Aggregator: Bypasses document scans by connecting directly to digital IDs (BankID, govt wallets) for 100% verified data. *e-ID aggregation (bypassing document scans).*";https://authologic.com;Specialized / Emerging;
Avallone;Copenhagen, Denmark;EU / Global;GDPR, SOC 2, ISO 27001;"Avallone Platform: A ""360-degree"" KYC/KYB ecosystem. It features KYC Collector (for outreach) and KYC Responder (for answering bank queries). Known for its AI Answer Engine and dynamic UBO visualization. *Complex UBO mapping and bank responder.*";https://www.avallone.com/;RegTech / Corporate KYC & Orchestration;
Blackdot Solutions;Cambridge, UK;Global;SOC 2 Type 2;Videris Automate: An OSINT-led screening platform that visualizes hidden connections across corporate records, social media, and the dark web.;https://blackdotsolutions.com/;Specialized / OSINT Intelligence;
Bloomberg;New York, NY;Global;ISO 27001, SOC 2, ISAE 3402;"While Bloomberg is famous for the ""Terminal,"" their alignment with your database—specifically for AFC (Anti-Financial Crime)—comes from their Enterprise Data division, which focuses on ""sanctions on securities"" and ""complex corporate ownership.""
Provides high-fidelity Sanctioned Securities data and UBO (Ultimate Beneficial Ownership) mapping for over 4 million legal entities. Specializes in ""look-through"" analysis for 410,000+ mutual funds and ETFs to identify sanctioned constituents.";https://www.bloomberg.com/professional/products/data/enterprise-catalog/real-time-data-feed/;Data Provider / Financial;
Castellum;New York, NY;Global;SOC 2, GDPR;"Global Risk Data Platform: Specializes in ""clean"" sanctions data and transaction screening with a focus on reducing false positives via AI automation. *""Clean"" automated sanctions data.*";https://www.castellum.ai/;Data Provider / Screening Engine;
Chainalysis;New York, NY;Global;SOC 2;Reactor/KYT: The leading forensic and compliance tool for blockchain transactions.;https://www.chainalysis.com;Specialized / Niche;
ComplyAdvantage;London, UK;Global;SOC 2 Type 2;ComplyData: AI-driven real-time screening and transaction monitoring.;https://complyadvantage.com;Specialized / Niche;
ComplyTek;Limassol, Cyprus;EU / Global;CySEC, SELK;"iKYC Screening: Provides real-time AML/KYC screening against 240+ countries. Known for its ""Risk Assessment Engine"" that automates client risk ratings.";https://complytek.ai/;RegTech / High-Growth;
Convier;Oslo, Norway;Global (EU focus);SOC 2, GDPR;"Convier Intelligence: An investigations-first platform that connects internal customer data with external sources to uncover complex networks. Excels at ""Network Risk"" for institutional clients.";https://www.convier.com/;Network Intelligence / UI;
Decision Focus;Copenhagen, Denmark;Global;ISO 27001, SOC 2;"GRC Orchestrator: A flexible Governance, Risk, and Compliance platform. Acts as the ""Glue"" for non-financial risks, integrating AML/KYC workflows into a broader enterprise risk framework.";https://www.decisionfocus.com/;Enterprise / Orchestration;
Dow Jones Risk & Compliance;New York, NY;Global;ISO 27001;RiskCenter: Editorial-quality adverse media and sanction data feeds.;https://www.dowjones.com/business-intelligence/risk/;Specialized / Niche;
Dun & Bradstreet;Jacksonville, FL;Global;ISO 27001, SOC 2;"D&B Compliance Intelligence: Uses the ""Data Cloud"" (500m+ entities) to automate KYB, beneficial ownership, and ESG/Cyber risk screening.";https://www.dnb.com/;Data Provider / KYB;
Eastnets;Dubai, UAE (Global HQ) / Luxembourg;Global (Market leader in MENA and Europe);SWIFT Certified, ISO 27001, SOC 2;A global provider of compliance and payment solutions. Its flagship suite, SafeWatch, is a leading real-time screening engine for sanctions and AML. It is particularly known for its deep integration with SWIFT payment rails and its focus on financial messaging security.;https://www.eastnets.com/;Enterprise / Legacy;
Facctum;London / Dubai;EMEA / APAC;;Facctum Sentinel: A cloud-native sanctions screening tool built for low-latency, real-time payment environments.;https://www.facctum.com;Specialized / Niche;
Featurespace;Cambridge, UK;Global;ISO 27001, SOC 2 Type 2;"ARIC™ Risk Hub: The global leader in ""Adaptive Behavioral Analytics."" It creates a unique ""behavioral profile"" for every customer to detect fraud and money laundering in real-time before the transaction settles.";https://www.featurespace.com/;Enterprise / RiskOps;
Feedzai;Coimbra, Portugal;Global;ISO 27001, SOC 2;"RiskOps Platform: A leader in ""Fusion Risk,"" combining transaction monitoring and screening with behavioral biometrics to stop scams in real-time.";https://feedzai.com/;Enterprise / RiskOps;
Fenergo;Dublin, Ireland;Global;;Lifecycle Mgmt | CLM Platform: Specialized in the heavy documentation required for Corporate/Institutional banking KYC.;https://www.fenergo.com;Specialized / Niche;
FICO;Bozeman, MT;Global;ISO 27001;"Falcon Fraud Manager: The industry leader in credit/debit card fraud detection.; Card Fraud | Falcon Fraud Manager: Protects over 2.5 billion payment cards globally from real-time fraud.";https://www.fico.com;Enterprise / Legacy;
FIS (Fidelity);Jacksonville, FL;Global;PCI DSS, SOC 2;AML Compliance Manager: Integrated risk and screening for retail banking and wealth.;https://www.fisglobal.com;Specialized / Niche;
Fiserv;Milwaukee, WI;Global;PCI DSS, SOC 2;AML Risk Manager: Behavioral monitoring and risk scoring for mid-to-large institutions.;https://www.fiserv.com;Specialized / Niche;
Flagright;Berlin, Germany;"Global (Remote); Global";;"Real-time AML: A startup known for its ultra-fast integration (often under 1 week) for transaction monitoring and risk scoring.; No-Code AML: Known for a ""10-minute integration"" for startups needing instant transaction monitoring and risk scoring.";https://www.flagright.com;Specialized / Niche;
Focal (by Mozn);Riyadh, KSA;MENA;SAMA Compliant (KSA);Focal AML: An AI suite dominant in Saudi Arabia for name matching and real-time watchlist screening. *Native Arabic NLP and GCC database access.*;https://getfocal.ai;Specialized / Niche;
FourKites;Chicago, IL, USA;Global (Strong North America focus);SOC 2 Type 2, GDPR;"Dynamic Ocean: Best-in-class predictive ETAs and integrated ""Yard Management"" to track containers once they hit the terminal.";https://www.fourkites.com/;Container Lifecycle Management (CLM) and Predictive Visibility (Global Visibility Platforms (Orchestrators));
Gnosis Freight;Charleston, SC, USA;Global;SOC 2 Type 2;"CLM Platform: Focused on the ""Full Lifecycle""—from initial booking to the empty container return. Built to mimic how logistics pros actually work.";https://www.gnosisfreight.com/;Container Lifecycle Management (CLM) and Predictive Visibility (Global Visibility Platforms (Orchestrators));
GSS (Global Screening Services);London, UK;Global;ISO 27001;A collaborative industry platform (ROSE) that standardizes sanctions screening. Focuses on reducing friction in cross-border payments through a shared utility model.;https://gss-rose.com;RegTech / High-Growth;
Hummingbird;San Francisco, CA;Global (Strong US/UK/EU presence);SOC 2 Type 2, ISO 27001, GDPR;"A modern compliance CRM and orchestration platform. Its ""Hummingbird AI"" suite uses generative models to automate SAR (Suspicious Activity Report) narratives, summarize complex investigative notes, and centralize data from screening engines and transaction monitoring tools into a single ""Golden Case.""";https://www.hummingbird.co/platform/ai;"Enterprise / Orchestration (specifically focusing on the ""Compliance Operations"" or ""RiskOps"" sub-niche)";
Jumio;Sunnyvale, CA;Global;PCI DSS, ISO 27001;"KYX Platform: Advanced biometric identity verification and authentication.; KYX Platform: Combines biometrics, ID verification, and AML screening into a ""low-friction"" mobile flow.";https://www.jumio.com;Specialized / Niche;
Kpler (Marine Traffic);Brussels, Belgium;Global;GDPR, ISO 27001;MarineTraffic / S-Kpler: Combines the world's largest AIS network with predictive analytics for real-time tracking, port congestion, and global commodity flows.;https://www.marinetraffic.com/;Specialized / Niche;
LexisNexis Risk Solutions;Atlanta, GA;Global;ISO 27001, SOC 2;Identity Data | Bridger Insight XG: A powerhouse for screening against the world’s largest proprietary datasets.;https://risk.lexisnexis.com;Specialized / Niche;
LSEG (Refinitiv);London, UK;Global;ISO 27001;"Sanctions Data | World-Check: The industry-standard database for PEPs, Sanctions, and Adverse Media.; World-Check: The industry-standard risk database for sanctions and PEPs. *Global standard for Sanctions & PEP data.*";https://www.lseg.com;Data Provider / Titan;
Lucinity;Reykjavik, Iceland;Global;;"Human-Centered AI: Created ""Lucinity Case Management"" which uses ""Augmented Intelligence"" to help analysts visualize complex money laundering.; Human-Centered AI: Uses ""augmented intelligence"" to help analysts visualize and write SAR narratives faster.";https://www.lucinity.com;Specialized / Niche;
Moody’s;New York, NY;Global;SOC 2;"KYB/Entity Risk | Orbis: The leading database for mapping ""Ultimate Beneficial Ownership"" (UBO) globally | Grid: Global risk database used for deep due diligence and KYB (Know Your Business).";https://www.moodys.com;Specialized / Niche;
Napier;London, UK;Global;ISO 27001, SOC 2 Type 2;"Napier AI Continuum: A modular platform featuring a ""Sandbox"" for testing screening rules on real data before deployment. *sandbox-led testing for false positives.*";https://www.napier.ai/;RegTech / Screening Engine;
Neterium;Brussels, Belgium;Global;SOC 2 Type 2;Jet-engine for screening. API-first, 'headless' screening engine designed for high-frequency trading and instant payments. Focuses on performance and scalability. *High-performance API for instant payments.*;https://neterium.io;Screening Engine (Headless);
Nexxiot;Zurich, Switzerland;Global;ISO 27001, UN ECE R10;"Kingpin Monitor: Specializes in ""Smart Asset"" hardware for rail cars and shipping containers. Provides autonomous ""Zero-Maintenance"" sensors.";https://nexxiot.com/;Container Lifecycle Management (CLM) and Predictive Visibility (IoT & Condition Monitoring (The Sensors));
NICE Actimize;Hoboken, NJ;Global;ISO 27001, SOC 2;"X-Sight & SAM: Unified fraud and AML monitoring for large-scale banking.; Global Market Share | X-Sight: The ""operating system"" for financial crime in 45 of the top 50 global banks. *The ""OS"" for Tier 1 Banks.*";https://www.niceactimize.com;Enterprise / Legacy;
Ondato;Vilnius, Lithuania;Global;;"Compliance OS: A ""one-stop shop"" for smaller firms that need KYC, KYB, and screening in a single dashboard.";https://ondato.com;Specialized / Niche;
Onfido (Entrust);London, UK;Global;UK DIATF, SOC 2;"Onfido Studio: AI-led biometric and identity document verification.; Document & Liveness: The gold standard for mobile-first biometric verification (selfie + ID).";https://onfido.com;Specialized / Niche;
Oracle;Austin, TX;Global;FedRAMP, SOC 2;Scalability | Oracle FCCM: Massive-scale transaction monitoring for the world’s largest central and retail banks.;https://www.oracle.com/financial-services/aml-financial-crime-compliance/;Enterprise / Legacy;
Pega;Cambridge, MA;Global;FedRAMP, ISO 27001;"Pega CLM: An ""Agentic AI"" compliance tool that uses autonomous agents to handle screening, outreach, and document validation.";https://www.pega.com/;Enterprise / Orchestration;
Pelican AI;Newark, NJ / London;Global;ISO 27001;AI-powered payments and compliance solutions. Specializes in financial messaging (SWIFT/ISO 20022) and real-time fraud/sanctions screening.;https://www.pelican.ai;Enterprise / Legacy;
Pier2Pier;Copenhagen, Denmark;Global;GDPR Compliant;"Track & Trace / 3D Load Calc: A modular toolset for tracking and 3D cargo planning. Excellent for reducing ""dead runs"" and optimizing container space.";https://www.pier2pier.com/;Container Lifecycle Management (CLM) and Predictive Visibility (Global Visibility Platforms (Orchestrators));
Pingo Documents;Copenhagen, Denmark;EU (Strong Nordic focus);GDPR Compliant, MitID integrated (DK);"While they primarily market to lawyers and accountants, their toolset—specifically the ""Pingo Comply"" module—is a direct competitor to mid-market KYC orchestration platforms.
An intelligent document automation and compliance platform. The Pingo Comply module provides automated KYC/AML onboarding, linking directly to public registries (like the CVR in Denmark) to pull UBO data and auto-generate AML risk assessment reports.";https://www.pingodocs.dk/;Corporate KYC / Orchestration (or alternatively RegTech / High-Growth);
Pole Star;London, UK;Global;ISO 27001, SOC 2 Type 2;"Automate the ""Know Your Vessel"" (KYV) process for financial institutions, insurers, and flag states.
MTI (Maritime Transparency Index): A credit-style scoring system (0-5) that distills vessel history, ownership, and behavior into an instant risk verdict.";https://www.polestarglobal.com/;Specialized / Niche;
Project44;Chicago, IL, USA;Global (World-leading network);SOC 2 Type 2, ISO 27001;"Movement by p44: High-fidelity visibility across ocean, rail, and road. Specialized in ""order-level"" tracking (knowing what’s inside the container).";https://www.project44.com/;Container Lifecycle Management (CLM) and Predictive Visibility (Global Visibility Platforms (Orchestrators));
Quantexa;London, UK;Global;SOC 2 Type 2;Decision Intelligence: Uses entity resolution to find hidden money-laundering networks. *Contextual intelligence for complex networks.*;https://www.quantexa.com;Network Intelligence / UI;
Reality Defender;New York, NY;Global;;Deepfake Detection: A niche 2026 essential that scans audio and video during KYC calls to detect AI-generated fraud. *Deepfake detection for video/audio KYC.*;https://www.realitydefender.com/;Specialized / Emerging;
RelyComply;Johannesburg, RSA;Africa;;End-to-end AML: A 2024/25 breakout focusing on intelligent transaction monitoring for the African fintech corridor.;https://relycomply.com/;Specialized / Niche;
Ripjar;Cheltenham, UK;Global;SOC 2 Type 2;Luminate Platform: Specializes in high-volume name screening and adverse media using AI Risk Profiles to summarize threats in 400+ languages.;https://ripjar.com/;RegTech / Adverse Media;
Rulebase;(Remote);Global;;"AI Investigative Assistant: A 2024/2025-era startup focusing specifically on automating the ""narrative"" part of a SAR filing.";https://rulebase.co/;Specialized / Niche;
Salv;Tallinn, Estonia;EU;;AML Bridge: A platform that allows banks to share anonymized intelligence on financial criminals in real-time.;https://salv.com/;Specialized / Niche;
Sanction Scanner;Istanbul, Turkey;MENA / EU;;Screening Lite: A lightweight, cost-effective tool aimed at SMEs for Sanctions, PEP, and Adverse Media screening.;https://www.sanctionscanner.com/;Specialized / Niche;
Sanctions.io;Germany / USA;Global;SOC 2 Type 2, GDPR Compliant;"Real-Time Screening API: A high-availability API designed for instant onboarding and transaction checks with native HubSpot/Salesforce integrations.
Maritime Module: rovides a lightweight, high-speed API to check IMO numbers against global Sanctions, PEP, and Criminal watchlists. Best for ""Plug-and-Play"" integration into custom ERPs.";https://www.sanctions.io/;RegTech / High-Growth;
Sardine;San Francisco, CA;North America/Global;;"Fraud & Compliance: Focuses on ""high-velocity"" money movement, particularly the intersection of traditional bank rails and crypto.";https://www.sardine.ai;Specialized / Niche;
SAS Institute;Cary, NC;Global;ISO 27001, SOC 2;"SAS Anti-Money Laundering: High-end analytics and anomaly detection for complex laundering.; Analytics | SAS AML: Advanced behavioral modeling and anomaly detection for complex laundering rings.";https://www.sas.com/;Enterprise / Legacy;
SEON;London/Budapest;Global;ISO 27001;"Fraud Intelligence: Uses digital footprints (email/IP) to assess risk invisibly.; Fraud Intelligence: Uses ""invisible"" data (email, phone, IP) to score risk before a user even starts KYC.";https://seon.io;Specialized / Niche;
SIX;Zurich, Switzerland;EU / Global;ISO 27001, FINMA Regulated;Sanctioned Securities Monitoring: A specialized data service that maps sanctions directly to 30M+ financial instruments and their issuers. *Specialized sanctioned securities data.*;https://www.six-group.com/;Data Provider / Financial Data;
Spektr;Copenhagen, DK;Global (strong EU/UK);ISO 42001 (Responsible AI);"Risk Modules: Uses ""AI Agents"" to automate the 90% of manual work in ongoing due diligence. *AI Agents for automated due diligence.*";https://spektr.com;FinTech/Start-up/Growth Orchestrator;
Strise;Oslo, Norway;Global (Tier 1 focus);SOC 2 Type 2, GDPR;"SuperData™ Profiles: Graph-based entity resolution that creates a ""living"" 360-degree risk view. *Graph-based 360-degree risk profiles.*";https://www.strise.ai;FinTech/Start-up/Network Intelligence / UI;
Sumsub;London, UK;"Global; 220+ Countries; Global (220+ Countries)";ISO 27001, GDPR;"Full-Cycle Verification: Orchestrates KYC, KYB, and AML in a single platform.; Full-Cycle Verification: A one-stop platform for KYC, KYB, and transaction monitoring with a strong ""no-code"" workflow builder.; Full-Cycle Verification: Orchestrates the entire lifecycle from onboarding to transaction monitoring.";https://sumsub.com;Specialized / Niche;
Symphony AI;Palo Alto, California, USA;Global (Used by 1/3 of the world's top financial institutions);SOC 1 & 2 Type 2, ISO 27001, ISO 27701 (Privacy);"Sensa-NetReveal: A ""Vertical AI"" suite that combines transaction monitoring with GenAI ""Copilots"" to resolve alerts up to 70% faster.";https://www.symphonyai.com/;Enterprise / Legacy;
Terminal49;San Francisco, CA, USA;Global (US Port Specialist);SOC 2 Type 2, GDPR;"Push API: Automatically ""pushes"" updates to your system when a container hits a milestone (e.g., ""Out of Gate"" or ""Last Free Day"").";https://www.terminal49.com/;Container Lifecycle Management (CLM) and Predictive Visibility (API-First & Data Aggregators (The Engines));
Themis;London, UK;Global;GDPR Compliant;End-to-end digital financial crime platform specializing in automated AML, KYC, and Sanctions risk management using deep investigative intelligence.;https://www.themis.pro;RegTech / High-Growth;
ThetaRay;Hod HaSharon, Israel;Global (Strong presence in Europe, North America, and MENA);SOC 2 Type 2, ISO 27001, GDPR Compliant;"SONAR & Ray: Cognitive AI for transaction monitoring; ""Ray"" provides agentic automation for evidence collection and narrative generation.";https://www.thetaray.com/;RegTech / High-Growth;
Tive;Boston, MA, USA;Global;ISO 27001, SOC 2 Type 2;Solo 5G Trackers: Real-time hardware that monitors temperature, light (door openings), humidity, and shock. Best for high-value/cold chain goods.;https://www.tive.com/;Container Lifecycle Management (CLM) and Predictive Visibility (IoT & Condition Monitoring (The Sensors));
Tookitaki;Singapore;APAC;;"Anti-Money Laundering Suite: Known for their ""FinCrime Compliance (FCC)"" platform which uses a collaborative ""community-based"" model for typologies.; Anti-Money Laundering Suite: Uses ""Community Intelligence"" to share laundering typologies across its network of banks.";https://www.tookitaki.com/;Specialized / Niche;
Trulioo;Vancouver, Canada;Global;;"GlobalGateway: Provides instant electronic identity verification for over 5 billion people and 330 million business entities.; GlobalGateway: The largest network for electronic identity verification (reaches 5bn+ people).";https://www.trulioo.com;Specialized / Niche;
Unit21;San Francisco, CA;North America;SOC 2 Type 2;"No-code Platform: Flexible transaction monitoring for fintech operations.; No-Code Monitoring: Allows non-technical compliance officers to build complex fraud rules without writing code.; Operations Platform: A flexible, modular tool for mid-market firms to manage fraud and AML without a massive dev team.";https://www.unit21.ai;Specialized / Niche;
Veriff;Tallinn, Estonia;Global;;"AI-Driven IDV: Specialized in highly automated, video-first identity verification to stop ""presentation attacks"" (spoofing).; AI Identity Verification: High-automation engine focused on preventing ""identity spoofing"" and presentation attacks.";https://www.veriff.com;Specialized / Niche;
Vizion;Los Angeles, CA, USA;Global;SOC 2 Type 2;Vizion API: Standardizes tracking data from 98% of global carriers into a single JSON feed. Used by developers to build custom tracking apps.;https://www.vizionapi.com/;Container Lifecycle Management (CLM) and Predictive Visibility (API-First & Data Aggregators (The Engines));
Windward;Tel Aviv, Israel;Global (Strong US/UK/EU focus);ISO 27001, SOC 2 Type 2, GDPR;"Provide ""Mission-Grade Intelligence"" that identifies deceptive shipping practices (DSP) long before they result in a sanctions violation.
Maritime AI™ & Ray: Uses ""Behavioral Risk"" AI to detect sanctions evasion (ship-to-ship transfers, dark activity) and ""Ray"" for agentic investigation automation.";https://windward.ai/;Specialized / Niche;
